Date,Monmouth
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,2
3/11/2020,2
3/12/2020,1
3/13/2020,3
3/14/2020,0
3/15/2020,0
3/16/2020,6
3/17/2020,8
3/18/2020,10
3/19/2020,11
3/20/2020,10
3/21/2020,39
3/22/2020,66
3/23/2020,80
3/24/2020,50
3/25/2020,25
3/26/2020,188
3/27/2020,133
3/28/2020,147
3/29/2020,89
3/30/2020,160
3/31/2020,110
4/1/2020,161
4/2/2020,157
4/3/2020,285
4/4/2020,322
4/5/2020,289
4/6/2020,191
4/7/2020,225
4/8/2020,268
4/9/2020,210
4/10/2020,248
4/11/2020,155
4/12/2020,134
4/13/2020,90
4/14/2020,128
4/15/2020,119
4/16/2020,177
4/17/2020,115
4/18/2020,114
4/19/2020,141
4/20/2020,118
4/21/2020,0
4/22/2020,299
4/23/2020,152
4/24/2020,130
4/25/2020,153
4/26/2020,150
4/27/2020,88
4/28/2020,67
4/29/2020,81
4/30/2020,126
5/1/2020,99
5/2/2020,66
5/3/2020,92
5/4/2020,88
5/5/2020,112
5/6/2020,62
5/7/2020,97
5/8/2020,103
5/9/2020,63
5/10/2020,79
5/11/2020,94
5/12/2020,53
5/13/2020,49
5/14/2020,74
5/15/2020,60
5/16/2020,73
5/17/2020,42
5/18/2020,69
5/19/2020,62
5/20/2020,71
5/21/2020,96
5/22/2020,58
5/23/2020,25
5/24/2020,80
5/25/2020,65
5/26/2020,46
5/27/2020,50
5/28/2020,51
5/29/2020,88
5/30/2020,59
5/31/2020,60
6/1/2020,30
6/2/2020,40
6/3/2020,43
6/4/2020,47
6/5/2020,49
6/6/2020,26
6/7/2020,24
6/8/2020,20
6/9/2020,14
6/10/2020,51
6/11/2020,64
6/12/2020,33
6/13/2020,60
6/14/2020,20
6/15/2020,21
6/16/2020,25
6/17/2020,18
6/18/2020,26
6/19/2020,46
6/20/2020,49
6/21/2020,17
6/22/2020,23
6/23/2020,33
6/24/2020,10
6/25/2020,22
6/26/2020,27
6/27/2020,25
6/28/2020,26
6/29/2020,2
6/30/2020,30
7/1/2020,23
7/2/2020,48
7/3/2020,37
7/4/2020,24
7/5/2020,36
7/6/2020,12
7/7/2020,26
7/8/2020,16
7/9/2020,9
7/10/2020,33
7/11/2020,33
7/12/2020,45
7/13/2020,33
7/14/2020,27
7/15/2020,63
7/16/2020,21
7/17/2020,10
7/18/2020,13
7/19/2020,10
7/20/2020,13
7/21/2020,11
7/22/2020,37
7/23/2020,28
7/24/2020,43
7/25/2020,31
7/26/2020,35
7/27/2020,51
7/28/2020,39
7/29/2020,38
7/30/2020,19
7/31/2020,53
8/1/2020,36
8/2/2020,24
8/3/2020,20
8/4/2020,33
8/5/2020,22
8/6/2020,35
8/7/2020,40
8/8/2020,17
8/9/2020,18
8/10/2020,24
8/11/2020,22
8/12/2020,20
8/13/2020,39
8/14/2020,27
8/15/2020,25
8/16/2020,15
8/17/2020,22
8/18/2020,13
8/19/2020,15
8/20/2020,9
8/21/2020,12
8/22/2020,28
8/23/2020,16
8/24/2020,5
8/25/2020,13
8/26/2020,21
8/27/2020,19
8/28/2020,22
8/29/2020,31
8/30/2020,10
8/31/2020,24
9/1/2020,29
9/2/2020,17
9/3/2020,38
9/4/2020,44
9/5/2020,28
9/6/2020,36
9/7/2020,25
9/8/2020,15
9/9/2020,36
9/10/2020,41
9/11/2020,59
9/12/2020,56
9/13/2020,32
9/14/2020,27
9/15/2020,51
9/16/2020,19
9/17/2020,71
9/18/2020,45
9/19/2020,35
9/20/2020,62
9/21/2020,44
9/22/2020,40
9/23/2020,21
9/24/2020,77
9/25/2020,44
9/26/2020,52
9/27/2020,49
9/28/2020,29
9/29/2020,36
9/30/2020,57
10/1/2020,76
10/2/2020,56
10/3/2020,90
10/4/2020,53
10/5/2020,56
10/6/2020,106
10/7/2020,81
10/8/2020,121
10/9/2020,73
10/10/2020,98
10/11/2020,52
10/12/2020,40
10/13/2020,85
10/14/2020,84
10/15/2020,79
10/16/2020,81
10/17/2020,86
10/18/2020,45
10/19/2020,84
10/20/2020,44
10/21/2020,38
10/22/2020,78
10/23/2020,65
10/24/2020,72
10/25/2020,55
10/26/2020,60
10/27/2020,85
10/28/2020,104
10/29/2020,115
10/30/2020,131
10/31/2020,67
11/1/2020,106
11/2/2020,84
11/3/2020,84
11/4/2020,109
11/5/2020,135
11/6/2020,117
11/7/2020,184
11/8/2020,121
11/9/2020,119
11/10/2020,190
11/11/2020,171
11/12/2020,235
11/13/2020,203
11/14/2020,236
11/15/2020,286
11/16/2020,146
11/17/2020,322
11/18/2020,285
11/19/2020,283
11/20/2020,281
11/21/2020,329
11/22/2020,289
11/23/2020,210
11/24/2020,281
11/25/2020,271
11/26/2020,306
11/27/2020,226
